ID,ID map,Dataset,Reported Speech,Speakers,Degree,ICTA,PropRel,L1,L1 IC,L1 Role,L1 Stance,L1 ID dialogue flow,L1 ID,L1Reported Speech,L1Reported Speech IC,L1Reported Speech Role,L1Reported Speech Stance,L1Reported Speech ID,L2,L2 IC,L2 Role,L2 Stance,L2 ID dialogue flow,L2 ID,L2Reported Speech,L2Reported Speech IC,L2Reported Speech Role,L2Reported Speech Stance,L2Reported Speech ID,L3,L3 IC,L3 Role,L3 Stance,L3 ID dialogue flow,L3 ID,L3Reported Speech,L3Reported Speech IC,L3Reported Speech Role,L3Reported Speech Stance,L3Reported Speech ID,L4,L4 IC,L4 Role,L4 Stance,L4 ID dialogue flow,L4 ID,L4Reported Speech,L4Reported Speech IC,L4Reported Speech Role,L4Reported Speech Stance,L4Reported Speech ID,L5,L5 IC,L5 Role,L5 Stance,L5 ID dialogue flow,L5 ID,L6,L6 IC,L6 Role,L6 Stance,L6 ID dialogue flow,L6 ID,L7,L7 IC,L7 Role,L7 Stance,L7 ID dialogue flow,L7 ID,PL1Reported Speech,PL1Reported Speech ID,PL2Reported Speech,PL2Reported Speech ID,PL3Reported Speech,PL3Reported Speech ID,PL4Reported Speech,PL4Reported Speech ID,P1,P1 ID,P2,P2 ID,P3,P3 ID,P4,P4 ID,P5,P5 ID,P6,P6 ID,P7,P7 ID,L1Reported Speech to L2Reported Speech,L1Reported Speech to P2,L1Reported Speech to P3,L2Reported Speech to L1Reported Speech,L2Reported Speech to PL1Reported Speech,L2Reported Speech to P1,L2Reported Speech to P2,L3Reported Speech to P1,L4Reported Speech to P1,NOT L1Reported Speech to L1Reported Speech,NOT PL1Reported Speech to P1,NOT PL2Reported Speech to PL2Reported Speech,NOT P1 to P1,PL1Reported Speech to PL2Reported Speech,PL1Reported Speech to P2,PL1Reported Speech to P3,PL1Reported Speech to P4,PL2Reported Speech to NOT PL2Reported Speech,PL2Reported Speech to PL1Reported Speech,PL2Reported Speech to P1,PL2Reported Speech to P3,PL3Reported Speech to P1,P1 to L2Reported Speech,P1 to PL2Reported Speech,P1 to P2,P1 to P3,P1 to P4,P1 to P5,P2 to L1Reported Speech,P2 to Out of TA,P2 to PL1Reported Speech,P2 to P1,P2 to P3,P2 to P4,P2 to P5,P3 to PL1Reported Speech,P3 to P1,P3 to P2,P3 to P4,P3 to P5,P4 to PL1Reported Speech,P4 to P1,P4 to P2,P4 to P3,P4 to P5,P5 to PL1Reported Speech,P5 to P1,P6 to P1,P6 to P5,P7 to P1,P7 to P5,Rephrase P1 to P1,NOT L1Reported Speech,NOT PL1Reported Speech,NOT PL2Reported Speech,NOT P1,Out of TA,To PL1Reported Speech,To PL2Reported Speech,To PL3Reported Speech,To P1,To P2,Rephrase P1,TA is nonanchoring
1,6062,British Empire,0,Different,2,Asserting,N_A,"MB : From your point of view, even if this hearing itself or the damages claims by these three individuals are concerned, should it be the occasion for examining the colonial legacy?",Pure Questioning,Chair,Neutral,1,28792,N_A,N_A,N_A,N_A,0,ES : Most definitely,Yes,Witness,Pro,2,28793,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,"even if this hearing itself or the damages claims by these three individuals are concerned, it should / should not be the occasion for examining the colonial legacy",111751,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,6062,British Empire,0,Same,2,Arguing,Inference,ES : Most definitely,Yes,Witness,Pro,2,28793,N_A,N_A,N_A,N_A,0,"ES : In fact, some of us would argue the case doesn't go far enough",Popular Conceding,Witness,Pro,3,28798,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,some of us would argue the case doesn't go far enough,28796,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,6062,British Empire,0,Same,3,Arguing,Inference,"ES : In fact, some of us would argue the case doesn't go far enough",Popular Conceding,Witness,Pro,3,28798,N_A,N_A,N_A,N_A,0,ES : because the colonial context is absent,Asserting,Witness,Pro,4,28804,N_A,N_A,N_A,N_A,0,"ES : and without recognising colonialism, it's very hard to understand what actually took place.",Asserting,Witness,Pro,5,28810,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,some of us would argue the case doesn't go far enough,28796,the colonial context is absent,28802,"without recognising colonialism, it's very hard to understand what actually took place.",28808,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6073,British Empire,1,Same,3,Arguing,Inference,Anne  : You said two things,Asserting,Panellist,Con,6,112165,N_A,N_A,N_A,N_A,0,Anne  : Esther : You said it's quite specific and you think of it as one specific legal trial with evidence that can be weighed and damages which may then be awarded,Asserting,Panellist,Con,7,112172,Esther : it's quite specific and I think of it as one specific legal trial with evidence that can be weighed and damages which may then be awarded,Asserting,Witness,Pro,112169,Anne  : Esther : but you've also said that it's more broadly about colonialism,Asserting,Panellist,Con,8,112180,Esther : it's more broadly about colonialism,Asserting,Witness,Pro,38178,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,it's quite specific and it is one specific legal trial with evidence that can be weighed and damages which may then be awarded,112167,it's more broadly about colonialism,25434,N_A,0,Esther said two things,112163,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6073,British Empire,1,Same,2,Agreeing,N_A,Anne  : Esther : but you've also said that it's more broadly about colonialism,Asserting,Panellist,Con,8,112180,Esther : it's more broadly about colonialism,Asserting,Witness,Pro,38178,Anne  : Surely that requires a very different approach,Asserting,Panellist,Con,9,38720,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,it's more broadly about colonialism,25434,N_A,0,N_A,0,N_A,0,N_A,0,that requires a very different approach,38182,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,6073,British Empire,0,Same,2,TA is non-anchoring,N_A,Anne  : Surely that requires a very different approach,Asserting,Panellist,Con,9,38720,N_A,N_A,N_A,N_A,0,Anne  : So what would justice look like to you?,Pure Questioning,Panellist,Con,10,38726,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,that requires a very different approach,38182,justice would look like xxx,38724,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,6073,British Empire,0,Different,2,Default Illocuting,Rephrase,Anne  : So what would justice look like to you?,Pure Questioning,Panellist,Con,10,38726,N_A,N_A,N_A,N_A,0,Esther : Justice to me would be multi-facetted,Asserting,Witness,Pro,11,38194,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,justice would look like xxx,38724,Justice would be multi-facetted,38192,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6073,British Empire,0,Same,2,Arguing,Inference,Esther : Justice to me would be multi-facetted,Asserting,Witness,Pro,11,38194,N_A,N_A,N_A,N_A,0,"Esther : Of course, there is value in specific cases",Popular Conceding,Witness,Pro,12,38198,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,Justice would be multi-facetted,38192,there is value in specific cases,38196,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6073,British Empire,0,Same,4,Arguing,Inference,Esther : Justice to me would be multi-facetted,Asserting,Witness,Pro,11,38194,N_A,N_A,N_A,N_A,0,"Esther : we have to acknowledge that there are survivors, who have never experienced any form of recompense",Asserting,Witness,Pro,13,38732,N_A,N_A,N_A,N_A,0,Esther : they do need to be compensated for the crimes that were committed against them,Asserting,Witness,Pro,15,38210,N_A,N_A,N_A,N_A,0,Esther : and there are many other survivors who do not currently have access to justice,Asserting,Witness,Pro,17,38222,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,Justice would be multi-facetted,38192,"there are survivors, who have never experienced any form of recompense",25452,they do need to be compensated for the crimes that were committed against them,25462,there are many other survivors who do not currently have access to justice,38217,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6073,British Empire,0,Same,2,TA is non-anchoring,N_A,"Esther : we have to acknowledge that there are survivors, who have never experienced any form of recompense",Asserting,Witness,Pro,13,38732,N_A,N_A,N_A,N_A,0,"Esther : you know, these are elderly victims",Asserting,Witness,Pro,14,38207,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,N_A,N_A,N_A,0,0,N_A,0,N_A,0,N_A,0,N_A,0,"there are survivors, who have never experienced any form of recompense",25452,these are elderly victims,25457,N_A,0,N_A,0,N_A,0,N_A,0,N_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
